Air (Play Moon Safari)
Another Taste
Arooj Aftab
Artemas
Brunzyn
Dudu Tassa & Jonny Greenwood
Elmiene
Eyedress
Future Utopia
Glass Beams
Kabaka Pyramid
The Lathums
Lip Critic
Miles Kane
MRCY
Wunderhorse
ZEP
